x,y,dir,enemyCount,distBucket,move,face,q
16,-7,s,4,5,l,w,8.560430282443708
-4,3,w,0,1,k,e,338.30816352428303
18,-4,s,2,6,l,e,0.6016734523660248
18,-4,s,2,6,l,n,1.0316498891708235
-4,3,w,0,1,k,s,338.2893182506768
16,-9,s,0,6,j,w,91.15794798696534
-4,3,w,0,1,k,n,338.34315433338037
16,-9,s,0,6,j,s,68.48496427914006
16,-7,s,4,5,l,e,-0.031408423349133935
-8,-10,s,0,4,h,n,153.03454405219324
14,-8,w,0,5,h,n,122.43247376845714
16,-9,s,0,6,j,n,70.42611403606855
-8,-10,s,0,4,h,s,152.99840419978017
16,-7,s,4,5,l,n,0.1919326684896725
-3,-9,w,0,3,s,e,235.83680817536614
14,-8,w,0,5,h,e,133.98958295388965
-8,-10,s,0,4,h,w,152.8974763334365
16,-9,s,0,6,j,e,74.50069474182881
16,-7,s,4,5,l,s,0.7691131866829121
-3,-9,w,0,3,s,n,235.82479372410438
1,-3,n,0,1,l,w,353.9207037923352
-14,-2,e,0,4,j,w,171.23208314067764
-14,0,n,0,4,s,w,144.50254727169224
-6,-1,w,0,2,h,w,295.0370523394795
-14,-2,e,0,4,j,s,168.72455705408677
16,-9,s,0,6,k,e,52.456943979740785
18,2,w,4,6,j,w,8.247417820651187
-14,0,n,0,4,s,s,148.99610764494858
-14,-2,e,0,4,j,n,170.58572768817862
-3,-9,w,0,3,s,w,235.83926451302122
-14,0,n,0,4,s,n,148.10888775723134
-8,-10,s,0,4,h,e,152.94011240271544
-3,-9,w,0,3,s,s,235.8163022363206
18,-4,s,2,6,k,s,0.003997117408598427
1,-3,n,0,1,l,e,353.9900048054441
-14,-2,e,0,4,j,e,170.89763650361564
-8,10,e,0,4,l,w,177.6889956460624
18,-4,s,2,6,k,n,1.104132384418535
-4,3,w,0,1,k,w,338.2465689510337
-6,-1,w,0,2,h,e,295.0516820450399
18,2,w,4,6,j,e,7.783700084112899
-6,-1,w,0,2,h,s,294.96878663518106
1,-3,n,0,1,l,n,353.31098880733884
18,2,w,4,6,j,n,0.025146689623188213
1,-3,n,0,1,l,s,353.29035356037747
18,-4,s,2,6,k,w,2.1689778791174485
-6,-1,w,0,2,h,n,294.96936206440625
-6,-1,w,0,2,j,e,335.16563432501266
18,0,w,0,6,j,n,89.79622760226101
-4,3,w,0,1,j,e,293.07886988155497
16,-7,s,4,5,k,w,0.6678467737145981
-6,-1,w,0,2,j,n,335.3371137751523
18,0,w,0,6,j,w,81.21478522551834
-4,3,w,0,1,j,n,293.01476092644907
18,2,w,4,6,k,e,1.234037200994059
18,0,w,0,6,j,s,61.59089488252917
-14,0,n,0,4,s,e,148.82795381956936
16,-7,s,4,5,k,e,13.198146277952391
-14,-2,e,0,4,h,w,168.47349342674556
-14,-2,e,0,4,h,s,158.978583393963
-14,-2,e,0,4,h,n,171.07546647832123
16,-7,s,4,5,k,n,3.1153484026352576
1,-3,n,0,1,k,s,352.3505611950301
1,-3,n,0,1,k,w,352.16418908575866
-4,3,w,0,1,j,w,293.07146690420655
18,2,w,4,6,k,n,0.6905909581625561
1,-3,n,0,1,k,e,351.9792793381309
-4,3,w,0,1,j,s,293.095465129943
18,2,w,4,6,k,w,0.2282804995840394
18,2,w,4,6,k,s,10.440661913187077
1,-3,n,0,1,k,n,351.6152739818503
18,0,w,0,6,j,e,67.1534263685961
-8,10,e,0,4,k,e,177.57719062493928
16,-9,s,0,6,h,w,88.64395924164467
14,-8,w,0,5,j,e,85.21079238888231
16,-9,s,0,6,h,s,84.65842082438557
-6,-1,w,0,2,k,e,318.2358628940994
-6,-1,w,0,2,k,s,318.2362591985304
-8,10,e,0,4,k,n,177.7481317654244
-6,-1,w,0,2,k,n,318.3785312959875
16,-9,s,0,6,h,n,86.74698084843001
14,-8,w,0,5,j,s,79.888879797239
-8,-10,s,0,4,j,w,178.12636003721593
14,-8,w,0,5,j,w,104.87010482422163
16,-9,s,0,6,h,e,100.18484946682916
-17,5,s,0,5,s,e,88.632290090883
14,-8,w,0,5,j,n,103.83820372051653
-8,-10,s,0,4,j,e,178.08557666112716
-17,5,s,0,5,s,n,92.15640073447472
1,-3,n,0,1,j,n,405.0590943452304
16,6,n,5,5,k,e,21.460715790671237
-8,-10,s,0,4,j,n,178.11184863261752
1,-3,n,0,1,j,s,405.33438041296074
-17,5,s,0,5,s,s,95.7038652327135
-14,-2,e,0,4,l,w,203.99484462112417
-8,-10,s,0,4,j,s,178.11791984392693
1,-3,n,0,1,j,w,408.075691198339
-17,5,s,0,5,s,w,98.75635617939284
-14,-2,e,0,4,l,s,203.02771909291963
-6,-1,w,0,2,j,s,335.410320947615
-14,-2,e,0,4,l,n,203.0317662273379
-1,-10,s,0,3,s,w,220.51559595868724
-8,10,e,0,4,j,n,164.47431577147628
16,6,n,5,5,k,n,2.65378225255234
18,2,w,4,6,l,s,15.41813028275359
1,-3,n,0,1,j,e,406.02552006800295
-8,10,e,0,4,j,w,164.8595145285385
-14,-2,e,0,4,l,e,204.12625118517494
-1,-10,s,0,3,s,s,220.48560468753897
-6,-1,w,0,2,j,w,335.2772505811597
-8,10,e,0,4,j,s,164.31572978703204
18,2,w,4,6,l,w,0.33146007209696665
16,6,n,5,5,k,s,34.62766489484417
-4,3,w,0,1,l,n,338.56979876422713
18,0,w,0,6,h,e,74.10759272630233
-6,-1,w,0,2,l,n,342.23426994557764
-8,10,e,0,4,l,e,177.74179436773878
-6,-1,w,0,2,l,w,342.22413253821287
-4,3,w,0,1,l,w,338.58716140939214
-8,10,e,0,4,l,s,177.6595022061821
18,0,w,0,6,h,n,84.83143273061033
-6,-1,w,0,2,l,s,342.2498805514173
-8,10,e,0,4,l,n,177.72921045102905
18,-4,s,2,6,k,e,1.1577704489605771
-4,3,w,0,1,l,s,338.5960651994991
18,0,w,0,6,h,w,80.86652433123474
18,0,w,0,6,h,s,95.74822526595723
-6,-1,w,0,2,l,e,342.19361285953335
-4,3,w,0,1,l,e,338.31232598899425
14,-8,w,0,5,h,w,141.5337845817412
10,-1,e,0,3,l,s,251.69202085106448
-14,-2,e,0,4,k,w,174.38575184542032
10,-1,e,0,3,l,n,251.603599252234
-14,-2,e,0,4,k,s,174.1669988616212
16,6,n,5,5,l,e,0.6116439479592828
10,-1,e,0,3,l,e,251.59431907216674
14,-8,w,0,5,h,s,144.88205793109375
-14,-2,e,0,4,k,n,173.1380753027498
-8,10,e,0,4,k,s,177.7549853446193
16,6,n,5,5,l,s,25.538325807806995
-6,-1,w,0,2,k,w,318.1795247682265
16,6,n,5,5,l,n,1.165824775990881
-14,-2,e,0,4,k,e,175.27370215288434
18,-4,s,2,6,j,w,1.4470413622402303
-8,10,e,0,4,k,w,177.93581789328098
16,6,n,5,5,l,w,2.4837344382619175
10,-1,e,0,3,l,w,251.5603164580807
18,-4,s,2,6,j,s,2.353814761173132
10,-1,e,0,3,s,s,251.66935074546998
14,-8,w,0,5,l,n,104.69979935483408
3,-1,e,0,1,h,s,406.54921465121464
12,4,e,2,4,k,n,44.18300510856922
3,-1,e,0,1,h,w,407.08917392407216
-2,2,s,0,0,k,w,405.8354858690189
14,-8,w,0,5,l,e,107.07090294354441
10,-1,e,0,3,s,n,251.5920173349171
12,4,e,2,4,k,s,87.62108092550156
1,-3,n,0,1,h,s,402.66331342180143
12,4,e,2,4,k,w,14.866758675681039
1,-3,n,0,1,h,w,400.3081339590743
8,-4,e,2,2,k,n,58.9907325890893
3,3,w,0,1,s,w,334.1646574893966
14,-8,w,0,5,l,s,80.2483941146979
10,-1,e,0,3,s,w,251.60573749449185
8,-4,e,2,2,k,e,34.92362455977132
3,3,w,0,1,s,s,334.62160347079475
14,-8,w,0,5,l,w,111.81500129760708
-2,2,s,0,0,l,e,405.73010350752077
-8,10,e,0,4,h,w,151.7352572227539
8,-4,e,2,2,j,w,102.46647897639531
-8,10,e,0,4,h,s,151.920762990622
1,-3,n,0,1,h,e,400.34332875752324
-10,-9,w,0,4,h,w,144.37861903396603
3,1,n,0,1,s,e,379.08106921236947
8,-4,e,2,2,j,n,87.64970477166814
1,-3,n,0,1,h,n,400.81238287817723
-10,-9,w,0,4,h,s,144.22041514300906
8,-4,e,2,2,j,s,174.79766361915466
-2,2,s,0,0,l,w,409.12868900209395
-8,10,e,0,4,h,e,151.74127387549112
-10,-9,w,0,4,h,n,143.73775257094985
-8,10,e,0,4,h,n,152.4085218563566
-2,2,s,0,0,l,n,403.38648251484136
12,4,e,2,4,k,e,10.371612718696106
-10,-9,w,0,4,h,e,143.91565267368694
-2,2,s,0,0,l,s,403.78919425150303
16,6,n,5,5,j,w,14.36066788786723
12,4,e,2,4,l,n,14.457745779261998
16,6,n,5,5,j,s,13.368421936299669
-1,-10,s,0,3,s,n,220.47973847918018
12,4,e,2,4,l,s,19.91721755800769
18,9,n,3,6,j,n,0.9302954298584428
-2,2,s,0,0,j,s,351.8289103665766
12,4,e,2,4,l,w,27.00379274443381
-1,-10,s,0,3,s,e,220.50898038448994
18,9,n,3,6,j,e,4.062867122725591
-2,2,s,0,0,j,w,351.87788813380195
-8,10,e,0,4,j,e,164.6644592379606
14,-8,w,0,5,k,e,111.56235950219934
3,1,n,0,1,s,n,379.087119151783
8,-4,e,2,2,j,e,99.67321186600154
14,-8,w,0,5,k,w,101.18080082883945
3,1,n,0,1,s,s,378.5553362895624
3,1,n,0,1,s,w,378.92318600837245
14,-8,w,0,5,k,n,110.74657101729595
14,-8,w,0,5,k,s,78.71961014755777
18,-4,s,2,6,h,s,1.8071599375916982
14,-3,s,1,4,s,w,35.22154497562977
18,-4,s,2,6,h,n,15.136027809206876
-2,2,s,0,0,k,e,405.7064461749578
3,-1,e,0,1,j,e,400.6673430115001
14,-3,s,1,4,s,s,10.17022770327199
10,-1,e,0,3,s,e,251.64573278618053
3,-1,e,0,1,j,n,399.0069212712931
3,-1,e,0,1,j,s,401.96480685105917
-2,2,s,0,0,k,s,405.8761588126349
14,-3,s,1,4,s,n,31.764683173588445
16,6,n,5,5,j,e,5.7317785123792095
18,9,n,3,6,k,e,7.7058752659162915
3,-1,e,0,1,j,w,401.2648958043056
12,4,e,2,4,l,e,56.04976069450419
14,-3,s,1,4,s,e,44.98038076376491
-2,2,s,0,0,k,n,405.0287340532079
16,6,n,5,5,j,n,0.005231292567276092
18,0,w,0,6,k,s,74.73265625959894
18,9,n,3,6,k,n,0.5199733577389621
18,9,n,3,6,k,s,4.681027592965123
0,9,n,0,3,h,e,232.3686677888851
18,0,w,0,6,k,w,64.44438818010252
16,-7,s,4,5,s,e,13.936310242037523
0,9,n,0,3,h,n,232.31525645063508
16,-9,s,0,6,l,w,39.99671147928517
18,9,n,3,6,k,w,2.7447188407173804
