x,y,dir,enemyCount,distBucket,move,face,q
-4,3,w,0,1,k,e,35.60363664335302
-4,3,w,0,1,k,s,122.25282327638146
-4,3,w,0,1,k,n,43.20901175615981
-6,-6,s,0,2,k,w,3.329300727795884
16,-9,s,0,6,j,s,1.6974559289873417
-8,-10,s,0,4,h,n,-0.23017893436160303
-2,7,w,0,2,k,e,3.1132512316117693
14,-8,w,0,5,h,n,6.88985663399672
16,-9,s,0,6,j,n,0.3636914031562857
18,-5,s,0,6,k,s,2.7292561416587127
-16,-6,e,0,5,h,e,-0.4840189823663411
-8,-10,s,0,4,h,s,0.20450430063855563
18,-5,s,0,6,k,w,1.6799146720953702
14,-8,w,0,5,h,e,1.4382787400920645
-8,-10,s,0,4,h,w,0.03131774989095991
16,-9,s,0,6,j,e,2.5184268653369606
-2,7,w,0,2,k,n,13.04376325107169
-16,-6,e,0,5,h,n,-0.29872767662860544
-3,-9,w,0,3,s,n,0.19382690967787253
1,-3,n,0,1,l,w,418.5059435406247
-14,-2,e,0,4,j,w,261.9384073799365
-12,2,e,0,4,j,w,29.270452236301757
-14,0,n,0,4,s,w,234.7465530538149
-6,-1,w,0,2,h,w,478.42851565075046
16,-9,s,0,6,k,e,0.34356417558614694
-14,-2,e,0,4,j,s,262.2078577813875
18,-5,s,0,6,k,n,3.2593375745533413
-6,-6,s,0,2,l,e,3.999636779562727
-14,0,n,0,4,s,s,223.0521946279006
-16,-6,e,0,5,h,s,1.197176447132053
-14,-2,e,0,4,j,n,262.1941856731631
-3,-9,w,0,3,s,w,0.8096514454595063
-14,0,n,0,4,s,n,220.5604926265139
-16,-6,e,0,5,h,w,0.48234254602044
-12,2,e,0,4,j,n,11.750994555703473
-8,-10,s,0,4,h,e,0.19618218954373035
18,-5,s,0,6,k,e,0.8775592567954766
-12,2,e,0,4,j,s,33.54527997001009
-6,-6,s,0,2,l,w,6.728116849983442
-14,-2,e,0,4,j,e,261.8825837257104
1,-3,n,0,1,l,e,200.0989221737742
-6,-6,s,0,2,l,s,7.5331990422119
-8,10,e,0,4,l,w,1.5410381938245101
-6,-1,w,0,2,h,e,472.2517908452367
-4,3,w,0,1,k,w,150.36819491490922
1,-3,n,0,1,l,n,224.11962435208596
-6,-1,w,0,2,h,s,475.7253674027364
-6,-6,s,0,2,l,n,12.11037165105701
-12,2,e,0,4,j,e,46.32812532835081
1,-3,n,0,1,l,s,234.62576430649796
-6,-1,w,0,2,h,n,472.57841526847676
-6,-1,w,0,2,j,e,549.2514549207099
18,0,w,0,6,j,n,70.52152415453469
16,-4,w,0,5,j,e,22.229228584456955
-4,3,w,0,1,j,e,10.753163663037473
-2,7,w,0,2,j,n,-0.21100327755723847
16,-4,w,0,5,j,n,46.7715233499486
-6,-1,w,0,2,j,n,555.8788613739179
-2,7,w,0,2,j,s,-0.17265373273619317
